Date,System,Site,Location,Time,T_C,DO_AS,pH,Cond_uS,h_cm,Turbidity_NTU,notes,d_veg_cm
07/10/2023,JR,JR1,L5-edge,13:29,24.5,81.6,5.4,25,40,,,
07/10/2023,JR,JR1,L5-mid,13:31,23.3,97.5,4.8,24,82,,,
09/10/2023,JR,JR1,L5-edge,10:20,24.5,81.5,5.4,25,,,,
09/10/2023,JR,JR1,L5-mid,10:25,23.3,89.9,4.7,23,,,,
11/10/2023,JR,JR1,L5-edge,09:15,21.2,75.8,4.82,24,97,,After rainfall,
11/10/2023,JR,JR1,L5-half,09:20,21.2,79.6,4.78,27,33,,,
11/10/2023,JR,JR1,L5-mid,09:17,21.2,79.9,4.89,27,24,,,
11/10/2023,JR,JR1,L6-edge,09:24,21.3,77.7,4.71,27,111,,,
11/10/2023,JR,JR1,L6-half,09:24,21.3,77.4,4.71,27,123,,,
11/10/2023,JR,JR1,L6-mid,09:24,21.3,76.2,4.72,26,126,,,
13/10/2023,JR,JR1,L5-edge,08:23,20.8,70,4.66,26,86,9.76,,
13/10/2023,JR,JR1,L5-half,08:22,20.8,73.1,4.78,26,58,,,
13/10/2023,JR,JR1,L5-mid,08:21,21,73.8,5.02,26,24,9.88,,
13/10/2023,JR,JR1,L6-edge,08:24,20.7,71.1,4.54,26,95,,,
13/10/2023,JR,JR1,L6-half,08:24,20.6,69.7,4.58,26,100,,,
13/10/2023,JR,JR1,L6-mid,08:25,20.6,70.7,4.52,26,100,,,
16/10/2023,JR,JR1,L5-edge,10:11,22.9,84.5,5.59,27,92,8.88,,
16/10/2023,JR,JR1,L5-half,10:10,23.2,85.8,5.72,27,63,,,
16/10/2023,JR,JR1,L5-mid,10:02,23.3,88.1,5.65,29,26,10.2,,
16/10/2023,JR,JR1,L6-edge,10:11,22.8,85.8,5.64,27,98,,,
16/10/2023,JR,JR1,L6-half,10:12,22.6,82.9,5.67,27,106,,,
16/10/2023,JR,JR1,L6-mid,10:12,22.6,84.4,5.69,27,105,,,
18/10/2023,JR,JR1,L5-edge,09:20,21.2,58.2,4.75,26,47,9.29,,
18/10/2023,JR,JR1,L5-half,09:20,20.9,75.3,4.74,26,68,,,
18/10/2023,JR,JR1,L5-mid,09:20,20.9,75.5,4.75,26,31,11.55,,
18/10/2023,JR,JR1,L6-edge,09:20,21,67.2,4.61,26,43,,,
18/10/2023,JR,JR1,L6-half,09:20,20.9,72.5,4.82,26,100,,,
18/10/2023,JR,JR1,L6-mid,09:20,20.9,70.5,4.87,26,114,,,
23/10/2023,JR,JR1,L5-edge,10:00,23.6,57.4,6.18,20,38,10.45,,
23/10/2023,JR,JR1,L5-half,10:00,22.4,77.7,4.84,21,73,,,
23/10/2023,JR,JR1,L5-mid,10:00,22.6,78.4,5.12,21,32,10.045,,
23/10/2023,JR,JR1,L6-edge,10:05,22.4,77.3,4.84,20,99,,,
23/10/2023,JR,JR1,L6-half,10:05,22.3,76.8,4.88,21,95,,,
23/10/2023,JR,JR1,L6-mid,10:05,22.3,76.6,4.83,21,119,,,
25/10/2023,JR,JR1,L5-edge,09:00,21.4,54.4,5.27,23,47,15.7,,
25/10/2023,JR,JR1,L5-half,09:02,21.5,57.2,4.83,21,99,,,
25/10/2023,JR,JR1,L5-mid,09:03,21.4,60.2,4.58,22,30,16.9,,
25/10/2023,JR,JR1,L6-edge,09:05,21.4,58.8,4.68,22,45,,,
25/10/2023,JR,JR1,L6-half,09:07,21.5,60.9,4.64,22,93,,,
25/10/2023,JR,JR1,L6-mid,09:08,21.5,60,4.63,22,74,,,
30/10/2023,JR,JR1,L5-edge,10:42,23.7,72.1,5.58,23,113,11.95,,
30/10/2023,JR,JR1,L5-half,10:43,22.8,76,4.97,22,97,,,
30/10/2023,JR,JR1,L5-mid,10:45,22.7,75.9,4.71,22,29,11.9,,
30/10/2023,JR,JR1,L6-edge,10:47,22.5,74.2,4.66,22,120,,,
30/10/2023,JR,JR1,L6-half,10:48,22.4,72.9,4.67,22,106,,,
30/10/2023,JR,JR1,L6-mid,10:49,22.4,73.5,4.74,22,138,,,
01/11/2023,JR,JR1,L5-edge,09:11,21.5,72.1,5.35,21,103,8.96,,
01/11/2023,JR,JR1,L5-half,09:12,21.2,75.5,4.77,20,90,,,
01/11/2023,JR,JR1,L5-mid,09:16,21.2,75.3,4.73,20,30,8.795,,
01/11/2023,JR,JR1,L6-edge,09:13,21.2,74.9,4.83,20,99,,,
01/11/2023,JR,JR1,L6-half,09:17,21.2,74,4.76,20,102,,,
01/11/2023,JR,JR1,L6-mid,09:18,21.2,76.2,4.76,20,131,,,
06/11/2023,JR,JR1,L5-edge,10:58,23.6,74.9,5.5,20,105,17.05,,
06/11/2023,JR,JR1,L5-half,11:00,23.3,78.5,5.54,19,93,,,
06/11/2023,JR,JR1,L5-mid,11:02,23.1,81.4,4.68,19,37,16.2,,
06/11/2023,JR,JR1,L6-edge,11:11,23.3,78.1,4.78,19,114,,,
06/11/2023,JR,JR1,L6-half,11:13,23.1,78.4,4.91,19,109,,,
06/11/2023,JR,JR1,L6-mid,11:15,23,79.9,5.1,19,89,,,
08/11/2023,JR,JR1,L5-edge,09:27,21.3,56.5,4.88,21,139,31.5,,
08/11/2023,JR,JR1,L5-half,09:26,21.5,60.6,4.97,21,109,,,
08/11/2023,JR,JR1,L5-mid,09:25,21.8,63.5,5.3,21,51,32.1,,
08/11/2023,JR,JR1,L6-edge,09:28,21.2,58.6,4.87,21,132,,,
08/11/2023,JR,JR1,L6-half,09:30,21.1,59.7,4.91,21,128,,,
08/11/2023,JR,JR1,L6-mid,09:31,21,59.7,4.96,21,144,,,
13/11/2023,JR,JR1,L6-edge,11:15,22.5,60.3,5.46,23,125,,,
13/11/2023,JR,JR1,L6-half,11:20,22.2,60.4,5.38,22,164,,,
13/11/2023,JR,JR1,L6-mid,11:21,22,60.8,4.87,22,110,,,
13/11/2023,JR,JR1,L5-edge,11:18,21.9,60.9,5.02,23,148,28.7,,
13/11/2023,JR,JR1,L5-half,11:23,21.9,60,4.86,23,117,,,
13/11/2023,JR,JR1,L5-mid,11:25,21.9,61.7,4.68,22,60,30.1,,
15/11/2023,JR,JR1,L5-edge,09:42,22.7,57.8,5.1,19,149.5,22.05,,
15/11/2023,JR,JR1,L5-half,09:44,22.5,59.8,4.86,19,117,,,
15/11/2023,JR,JR1,L5-mid,09:46,22.4,61.3,4.68,18,59,22.1,,
15/11/2023,JR,JR1,L6-edge,09:51,22.4,59.7,4.7,18,147,,,
15/11/2023,JR,JR1,L6-half,09:53,22.4,60.2,4.71,18,174,,,
15/11/2023,JR,JR1,L6-mid,09:55,22.3,59.7,4.73,18,170,,,
20/11/2023,JR,JR1,L5-edge,11:51,25.2,66.3,4.72,21,154,22.45,,
20/11/2023,JR,JR1,L5-half,11:52,24,72.2,4.66,21,144,,,
20/11/2023,JR,JR1,L5-mid,11:53,23.4,77,4.75,20,49,20.25,,
20/11/2023,JR,JR1,L6-edge,12:01,24.5,74.4,5.83,20,81,,,
20/11/2023,JR,JR1,L6-half,12:03,23.6,70.7,5.01,21,144,,,
20/11/2023,JR,JR1,L6-mid,12:05,23.4,74.3,4.66,21,116,,,
