System,Site,Start_Date,End_Date,Logger_ID,Orientation,Direction,Vertical_location,Ch_0,Ch_7,Vegetation_cover_edge_ch,Dominant_veg,t_first_rec_start,t_last_rec_end,Recorded_dur_h,Gain_factor,Extraction_Threshold,events_thresh,BP_FFT_high_cutoff,GPS_UTM_36M_East,GPS_UTM_36M_North,Notes
LN,LN1,09/10/2023,11/10/2023,L7,Horizontal,Orthogonal,Below_surface,Shore,Open,0,Papyrus,09/10/2023 11:28:35,10/10/2023 17:48:37,30.33388889,100,0.02,0.02 + 0.04,13kHz,373860,9959143,"High cutoff 13kHz -> Noise detected, clean up events"
JR,JR1,11/10/2023,13/10/2023,L5,Horizontal,Orthogonal,Middle,Shore,Open,2,"Papyrus, Grass",11/10/2023 09:15:04,12/10/2023 18:05:06,32.83388889,10,0.005,0.01,13kHz,374592,9959763,
JR,JR1,11/10/2023,13/10/2023,L6,Horizontal,Parallel,Middle,Shore,Open,7,"Papyrus, Grass",11/10/2023 09:45:04,12/10/2023 16:55:02,31.16611111,10,0.005,0.01,13kHz,374592,9959763,
SL,SLP,11/10/2023,13/10/2023,L2,Horizontal,Orthogonal,Ground,Vegetation,Open,4,Miscanthidium,11/10/2023 14:53:03,12/10/2023 22:43:02,31.83305556,10,0.005,0.01,13kHz,382134,9964854,Phase-locking / co-bursting!
SL,SLP,11/10/2023,13/10/2023,L1,Horizontal,Orthogonal,Surface,Vegetation,Open,4,Miscanthidium,11/10/2023 17:04:04,13/10/2023 02:44:03,33.66638889,10,0.005,0.01,13kHz,382134,9964854,
LN,LN2,16/10/2023,18/10/2023,L7,Horizontal,Orthogonal,Below_surface,Shore,Open,7,"Miscanthidium, Lillies",16/10/2023 09:36:17,17/10/2023 17:26:19,31.83388889,100,0.02,0.02 + 0.04,13kHz,374320,9957429,"water lillies, heavy rain"
JR,JR1,16/10/2023,18/10/2023,L6,Horizontal,Parallel,Middle,Shore,Open,7,"Papyrus, Grass",16/10/2023 10:17:43,17/10/2023 17:47:41,31.49944444,10,0.005,0.01,13kHz,374592,9959763,
JR,JR1,16/10/2023,18/10/2023,L5,Horizontal,Orthogonal,Middle,Shore,Open,2,"Papyrus, Grass",16/10/2023 10:18:02,17/10/2023 15:58:03,29.66694444,10,0.005,0.01,13kHz,374592,9959763,
SL,SLP,18/10/2023,20/10/2023,L1,Horizontal,Orthogonal,Surface,Vegetation,Open,4,Miscanthidium,18/10/2023 12:17:17,19/10/2023 18:17:15,29.99944444,10,0.005,0.01,13kHz,382134,9964854,
SL,SLP,18/10/2023,20/10/2023,L2,Horizontal,Orthogonal,Ground,Vegetation,Open,4,Miscanthidium,18/10/2023 12:17:24,19/10/2023 20:07:22,31.83277778,10,0.005,0.01,13kHz,382134,9964854,
PL,PLP,18/10/2023,20/10/2023,L3,Horizontal,Orthogonal,Ground,Vegetation,Open,3,Miscanthidium,18/10/2023 12:57:40,19/10/2023 19:27:38,30.49944444,10,0.005,0.01,13kHz,382794,9964774,
PL,PLP,18/10/2023,20/10/2023,L4,Horizontal,Orthogonal,Surface,Vegetation,Open,3,Miscanthidium,18/10/2023 12:57:50,19/10/2023 20:27:52,31.50055556,10,0.005,0.01,13kHz,382794,9964774,
PL,PLS,18/10/2023,20/10/2023,L9,Horizontal,Parallel,Below_surface,Open,Cover,3,"Grass, Trees",18/10/2023 13:17:59,19/10/2023 09:27:58,20.16638889,10,0.005,0.01,13kHz,382782,9964814,
LN,LNI1,23/10/2023,25/10/2023,L9,Horizontal,Orthogonal,Below_surface,Shore,Open,0,Papyrus,23/10/2023 08:49:22,24/10/2023 05:29:21,20.66638889,100,0.01+0.02,0.01+0.02,13kHz,374619,9959621,
LN,LN3,23/10/2023,25/10/2023,L7,Horizontal,Orthogonal,Below_surface,Shore,Open,0,"Papyrus, Hippograss",23/10/2023 09:33:25,24/10/2023 11:13:27,25.66722222,100,0.02,0.02,13kHz,374584,9959720,
