"System";"Site";"Start_Date";"End_Date";"Logger_ID";"Orientation";"Direction";"Vertical_location";"Ch_0";"Ch_7";"Vegetation_cover_edge_ch";"Dominant_veg";"Weather";"Rain";"Moon_phase";"T_ch0_set_C";"T_mid_set_C";"T_ch7_set_C";"DO_ch0_set_AS";"DO_mid_set_AS";"DO_ch7_set_AS";"pH_ch0_set";"pH_mid_set";"pH_ch7_set";"Conductivity_ch0_set_uS";"Conductivity_mid_set_uS";"Conductivity_ch7_set_uS";"Depth_ch0_set_cm";"Depth_mid_set_cm";"Depth_ch7_set_cm";"Turbidity_set_NTU";"T_ch0_retr_C";"T_mid_retr_C";"T_ch7_retr_C";"DO_ch0_retr_AS";"DO_mid_retr_AS";"DO_ch7_retr_AS";"pH_ch0_retr";"pH_mid_retr";"pH_ch7_retr";"Conductivity_ch0_retr_uS";"Conductivity_mid_retr_uS";"Conductivity_ch7_retr_uS";"Depth_ch0_retr_cm";"Depth_mid_retr_cm";"Depth_ch7_retr_cm";"Turbidity_retr_NTU";"t_first_rec_start";"t_last_rec_end";"Recorded_dur_h";"Gain_factor";"Extraction_Threshold";"events_thresh";"BP_FFT_high_cutoff";"GPS_UTM_36M_East";"GPS_UTM_36M_North";"Notes";"t_meas_set";"t_meas_retr"
"JR";"JR1";2023-10-11;2023-10-13;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;"yes";NA;21,2;21,2;21,2;75,8;79,6;79,9;4,82;4,78;4,89;24;27;27;97;33;24;NA;20,8;20,8;21;70;73,1;73,8;4,66;4,78;5,02;26;26;26;86;58;24;9,82;45210,385462963;45211,7535416667;32,8338888888247;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-10-11 09:17:20;2023-10-13 08:22:00
"JR";"JR1";2023-10-16;2023-10-18;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;NA;NA;22,9;23,2;23,3;84,5;85,8;88,1;5,59;5,72;5,65;27;27;29;92;63;26;9,54;21,2;20,9;20,9;58,2;75,3;75,5;4,75;4,74;4,75;26;26;26;47;68;31;10,42;45215,4291898148;45216,6653125;29,6669444444706;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-10-16 10:07:40;2023-10-18 09:20:00
"JR";"JR1";2023-10-23;2023-10-25;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;NA;NA;23,6;22,4;22,6;57,4;77,7;78,4;6,18;4,84;5,12;20;21;21;38;73;32;10,2475;21,4;21,5;21,4;54,4;57,2;60,2;5,27;4,83;4,58;23;21;22;47;99;30;16,3;45222,4213541667;45223,4421990741;24,5002777777263;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;"Electrode cable completely parallel to L6 because of higher current";2023-10-23 10:00:00;2023-10-25 09:01:40
"JR";"JR1";2023-10-30;2023-11-01;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;NA;NA;23,7;22,8;22,7;72,1;76;75,9;5,58;4,97;4,71;23;22;22;113;97;29;11,925;21,5;21,2;21,2;72,1;75,5;75,3;5,35;4,77;4,73;21;20;20;103;90;30;8,8775;45229,4472106481;45230,4958333333;25,1669444444706;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-10-30 10:43:20;2023-11-01 09:13:00
"JR";"JR1";2023-11-06;2023-11-08;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;NA;NA;23,6;23,3;23,1;74,9;78,5;81,4;5,5;5,54;4,68;20;19;19;105;93;37;16,625;21,3;21,5;21,8;56,5;60,6;63,5;4,88;4,97;5,3;21;21;21;139;109;51;31,8;45236,4618402778;45237,7743634259;31,5005555555108;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-11-06 11:00:00;2023-11-08 09:26:00
"JR";"JR1";2023-11-13;2023-11-15;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;NA;NA;21,9;21,9;21,9;60,9;60;61,7;5,02;4,86;4,68;23;23;22;148;117;60;29,4;22,7;22,5;22,4;57,8;59,8;61,3;5,1;4,86;4,68;19;19;18;149,5;117;59;22,075;45243,4732175926;45244,7926851852;31,6672222223715;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;"Long pulses were not detected - re-ran detection with new parameters";2023-11-13 11:22:00;2023-11-15 09:44:00
"JR";"JR1";2023-11-20;2023-11-22;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;NA;NA;25,2;24;23,4;66,3;72,2;77;4,72;4,66;4,75;21;21;20;154;144;49;21,35;23,3;23,2;23,1;63,8;64,6;71,1;4,56;4,62;4,63;20;20;20;156;147;67;17,675;45250,5026736111;45251,780462963;30,6669444444124;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-11-20 11:52:00;2023-11-22 11:10:20
"JR";"JR1";2023-11-25;2023-11-27;"L5";"Horizontal";"Orthogonal";"Middle";"Shore";"Open";2;"Papyrus, Grass";NA;NA;NA;23,4;23;22,9;50,7;56,3;60,7;5,19;4,59;4,4;21;20;20;149;186;67;20,175;22,4;22,4;22,3;57,1;61,3;64,4;5,02;4,2;4,3;21;21;20;141;133;63;17,75;45255,4372453704;45256,7428125;31,3336111111566;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-11-25 10:11:40;2023-11-27 09:38:40
"JR";"JR1";2023-10-11;2023-10-13;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";7;"Papyrus, Grass";NA;"yes";NA;21,3;21,3;21,3;77,7;77,4;76,2;4,71;4,71;4,72;27;27;26;111;123;126;NA;20,7;20,6;20,6;71,1;69,7;70,7;4,54;4,58;4,52;26;26;26;95;100;100;NA;45210,4062962963;45211,7048842593;31,1661111109424;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-10-11 09:24:00;2023-10-13 08:24:20
"JR";"JR1";2023-10-16;2023-10-18;"L6";"Horizontal";"Parallel";"Middle";"Shore";"Open";NA;"Papyrus, Grass";NA;NA;NA;22,8;22,6;22,6;85,8;82,9;84,4;5,64;5,67;5,69;27;27;27;98;106;105;NA;21;20,9;20,9;67,2;72,5;70,5;4,61;4,82;4,87;26;26;26;43;100;114;NA;45215,4289699074;45216,7414467593;31,4994444444892;10;"5.0000000000000001E-3";"0.01";"13kHz";374592;9959763;NA;2023-10-16 10:11:40;2023-10-18 09:20:00
